Symbol,YahooSymbol,Name,Exchange,Series
ALBERTDAVD,ALBERTDAVD.NS,ALBERTDAVD,NSE,EQ
ALEMBICLTD,ALEMBICLTD.NS,ALEMBICLTD,NSE,EQ
ALGOQUANT,ALGOQUANT.NS,ALGOQUANT,NSE,EQ
ALICON,ALICON.NS,ALICON,NSE,EQ
ALIVUS,ALIVUS.NS,ALIVUS,NSE,EQ
ALKALI,ALKALI.NS,ALKALI,NSE,EQ
ALKEM,ALKEM.NS,ALKEM,NSE,EQ
ALKYLAMINE,ALKYLAMINE.NS,ALKYLAMINE,NSE,EQ
ALLCARGO,ALLCARGO.NS,ALLCARGO,NSE,EQ
ALLDIGI,ALLDIGI.NS,ALLDIGI,NSE,EQ
ALLTIME,ALLTIME.NS,ALLTIME,NSE,EQ
ALMONDZ,ALMONDZ.NS,ALMONDZ,NSE,EQ
ALOKINDS,ALOKINDS.NS,ALOKINDS,NSE,EQ
ALPA,ALPA.NS,ALPA,NSE,EQ
ALPHA,ALPHA.NS,ALPHA,NSE,EQ
ALPHAETF,ALPHAETF.NS,ALPHAETF,NSE,EQ
ALPHAGEO,ALPHAGEO.NS,ALPHAGEO,NSE,EQ
ALPL30IETF,ALPL30IETF.NS,ALPL30IETF,NSE,EQ
AMAGI,AMAGI.NS,AMAGI,NSE,EQ
AMANTA,AMANTA.NS,AMANTA,NSE,EQ
AMBER,AMBER.NS,AMBER,NSE,EQ
AMBICAAGAR,AMBICAAGAR.NS,AMBICAAGAR,NSE,EQ
AMBIKCO,AMBIKCO.NS,AMBIKCO,NSE,EQ
AMBUJACEM,AMBUJACEM.NS,AMBUJACEM,NSE,EQ
AMDIND,AMDIND.NS,AMDIND,NSE,EQ
AMJLAND,AMJLAND.NS,AMJLAND,NSE,EQ
AMNPLST,AMNPLST.NS,AMNPLST,NSE,EQ
AMRUTANJAN,AMRUTANJAN.NS,AMRUTANJAN,NSE,EQ
ANANDRATHI,ANANDRATHI.NS,ANANDRATHI,NSE,EQ
ANANTRAJ,ANANTRAJ.NS,ANANTRAJ,NSE,EQ
ANDHRAPAP,ANDHRAPAP.NS,ANDHRAPAP,NSE,EQ
ANDHRSUGAR,ANDHRSUGAR.NS,ANDHRSUGAR,NSE,EQ
ANGELONE,ANGELONE.NS,ANGELONE,NSE,EQ
ANIKINDS,ANIKINDS.NS,ANIKINDS,NSE,EQ
ANMOL,ANMOL.NS,ANMOL,NSE,EQ
ANTELOPUS,ANTELOPUS.NS,ANTELOPUS,NSE,EQ
ANTGRAPHIC,ANTGRAPHIC.NS,ANTGRAPHIC,NSE,EQ
ANTHEM,ANTHEM.NS,ANTHEM,NSE,EQ
ANUHPHR,ANUHPHR.NS,ANUHPHR,NSE,EQ
ANUP,ANUP.NS,ANUP,NSE,EQ
ANURAS,ANURAS.NS,ANURAS,NSE,EQ
AONEGOLD,AONEGOLD.NS,AONEGOLD,NSE,EQ
AONELIQUID,AONELIQUID.NS,AONELIQUID,NSE,EQ
AONENIFTY,AONENIFTY.NS,AONENIFTY,NSE,EQ
AONESILVER,AONESILVER.NS,AONESILVER,NSE,EQ
AONETMMQ50,AONETMMQ50.NS,AONETMMQ50,NSE,EQ
AONETOTAL,AONETOTAL.NS,AONETOTAL,NSE,EQ
APARINDS,APARINDS.NS,APARINDS,NSE,EQ
APCL,APCL.NS,APCL,NSE,EQ
APCOTEXIND,APCOTEXIND.NS,APCOTEXIND,NSE,EQ
APEX,APEX.NS,APEX,NSE,EQ
APLAPOLLO,APLAPOLLO.NS,APLAPOLLO,NSE,EQ
APLLTD,APLLTD.NS,APLLTD,NSE,EQ
APOLLO,APOLLO.NS,APOLLO,NSE,EQ
